EAN,Supplier Name,Cost,MOQ,Lead Time,Payment Terms,MPN,Product Name
8.90E+12,Global Electronics,65.5,50,7 days,Net 30,1,abd
8.90E+12,TechSupply Co,68.75,25,5 days,Net 45,2,abd
,SecureVision Inc,42.25,30,4 days,Net 30,,test
8.90E+12,Smart Home Distributors,45.5,20,6 days,Net 60,4,abd
8.90E+12,Organic Imports,15.75,100,10 days,Net 30,5,abd
8.90E+12,Tea Direct,16.5,50,7 days,Net 45,6,abd
8.90E+12,Sports Wholesale,22.5,40,5 days,Net 30,7,abd
8.90E+12,Lightning Solutions,18.25,60,4 days,Net 30,8,abd
8.90E+12,Beauty Supply Co,13.5,75,6 days,Net 45,9,abd
8.90E+12,EcoProducts Ltd,11.25,100,8 days,Net 30,10,abd
8.90E+12,Gaming Gear Direct,28.75,50,5 days,Net 30,11,abd
8.90E+12,Kitchen Essentials,23.5,40,6 days,Net 45,12,abd
8.90E+12,Pro Supply,38.25,30,4 days,Net 30,13,abd
8.90E+12,Pro Beauty Supply,38.25,30,4 days,Net 20,14,abd
qwert,Pro  Supply,23.5,30,5 days,Net 20,15,abd
test,Pro  Supply,23.5,30,5 days,Net 20,,
,Pro  Supply,23.5,30,5 days,Net 20,test,abd
